State_FIPS_Code,County_FIPS_Code,LBW,LBW_Ind,VLBW,VLBW_Ind,Premature,Premature_Ind,Under_18,Under_18_Ind,Over_40,Over_40_Ind,Unmarried,Unmarried_Ind,Late_Care,Late_Care_Ind,Infant_Mortality,Infant_Mortality_Ind,IM_Wh_Non_Hisp,IM_Wh_Non_Hisp_Ind,IM_Bl_Non_Hisp,IM_Bl_Non_Hisp_Ind,IM_Hisp,IM_Hisp_Ind,IM_Neonatal,IM_Neonatal_Ind,IM_Postneonatal,IM_Postneonatal_Ind,Brst_Cancer,Brst_Cancer_Ind,Col_Cancer,Col_Cancer_Ind,CHD,CHD_Ind,Homicide,Homicide_Ind,Lung_Cancer,Lung_Cancer_Ind,MVA,MVA_Ind,Stroke,Stroke_Ind,Suicide,Suicide_Ind,Injury,Injury_Ind,Total_Births,Total_Deaths
37,127,9.4,4,2.2,4,14,4,5.1,4,1.5,4,39.5,4,21.2,4,9.6,4,4.3,3,16,4,14.4,4,6.2,4,3.4,4,26.8,4,21.2,4,197.1,4,10.1,4,62.4,4,22.4,4,95.9,4,10.2,3,21.8,4,6138,4409
37,129,9,4,1.8,4,13.7,4,3,3,2.2,4,33.3,3,19.9,4,5.4,3,4.8,3,7.6,3,-1111.1,-1,4.4,3,1,3,30.8,4,17.2,3,155.5,3,5.8,4,62.8,4,10.5,3,66.6,4,11.9,3,24.5,4,6151,4339
37,131,12.2,4,2.7,4,17.2,4,8.4,4,1.4,4,57.4,4,16.5,3,17.6,4,5.5,3,23.4,4,-1111.1,-1,15.4,4,2.2,3,31.5,4,24.7,4,215,3,13.1,4,63.2,3,35.9,4,82.8,4,9.7,3,29.4,4,2544,2785
37,133,7.8,3,1.6,4,11,3,2.2,3,0.8,3,19.1,3,7.9,3,9.5,4,7.2,4,19.5,4,7.9,4,6.1,4,3.4,4,19.7,3,18.6,3,191.4,4,5.1,3,72.1,4,22,4,56.7,3,9.9,3,22.6,3,9418,2329
37,135,9.6,4,2.2,4,12.5,4,2.2,4,3.9,4,23.7,3,10.3,4,9.6,4,8.7,4,11.8,4,7.3,4,7.4,4,2.2,4,27.9,4,16.2,3,118.4,3,4.3,4,52.6,3,12.2,4,68.6,4,10.1,3,25.6,4,4052,2102
37,137,9.3,4,1.6,4,13.1,4,6.6,4,1.5,4,38.9,4,22.6,4,5.1,3,3.1,3,-1111.1,-1,-1111.1,-1,4.1,3,1,3,18.1,3,18.4,3,173.6,3,-1111.1,-1,61.8,3,28.6,3,72,4,7.1,3,30.9,4,1101,1438
37,139,9.2,3,1.5,3,13.9,3,5.9,3,1,3,48.5,4,19.7,4,7.7,3,2.6,3,14.2,4,-1111.1,-1,6,4,1.7,3,32,4,18.6,3,190.3,3,-1111.1,-1,58.3,3,15,3,73.6,4,6,3,21.6,3,2324,1851
37,141,9.1,4,1.7,4,13.8,4,4.5,4,2.2,4,36.7,4,21.8,4,5.5,3,2.5,3,13.6,4,-1111.1,-1,4.2,3,1.3,3,24.5,4,15.4,3,155.5,3,8.2,4,63.3,3,27.3,4,92,4,10.9,3,21.6,3,2365,1870
37,143,8.2,3,1.2,3,13.1,4,7.4,4,2.5,4,40.2,4,18.5,4,14.4,4,7.4,3,28.2,4,-1111.1,-1,11.5,4,2.9,4,27.7,4,21.9,3,185.9,3,-1111.1,-1,66.6,3,28.3,4,85.6,4,17.4,4,20,3,1154,1409
37,145,9.2,4,2.2,4,13.1,4,4.3,4,1.4,3,36.7,4,12.5,3,10,4,4.8,3,19.7,4,-1111.1,-1,7,4,3.1,4,19.2,3,22.3,4,199.5,4,7.2,4,63.5,4,21.5,4,102.2,4,18,4,23.2,4,2291,1876
37,147,10.4,4,2.7,4,16,4,4.4,3,1.8,4,41,3,13.8,3,12.4,4,5.1,3,21.3,4,-1111.1,-1,10,4,2.3,3,28.7,4,22.3,4,185.2,4,7.4,3,57,4,20,4,71.6,4,13.9,4,22.6,3,5976,3166
37,149,6.8,4,1.6,4,11.3,4,4.4,4,1.8,4,26.8,4,14.8,4,11,4,11.5,4,-1111.1,-1,-1111.1,-1,7.8,4,3.2,4,23.4,3,20.9,3,157.4,3,-1111.1,-1,47.5,3,22.2,4,59.2,3,18.8,4,19.9,3,1700,2547
37,151,8.1,4,1.5,4,13.1,4,5,4,1.4,3,31.6,4,14.4,4,9,4,11,4,-1111.1,-1,1.9,3,5.5,4,3.5,4,23,3,22,4,167.6,4,4.6,4,64.6,4,20.2,4,67.2,4,12.1,4,21.5,4,5448,3421
37,153,9.9,4,2.3,4,15.6,4,7.4,4,1,3,51.7,4,20.9,4,9.3,4,5.5,3,14.1,4,-1111.1,-1,4.9,4,4.3,4,28.6,4,27.4,4,265.2,4,12.9,4,68.6,4,30.7,4,67.9,4,15.7,4,23.9,3,3243,2670
37,155,11.4,4,2.1,4,15.9,4,7.3,4,1.2,3,59,4,24.6,4,10,4,8,4,15.8,4,3.7,3,6.7,4,3.3,4,31.3,4,18.6,3,267.5,4,19,4,66.3,4,48.5,4,87.3,4,9.7,3,26.6,4,6129,3619
37,157,9.4,4,1.6,4,15,4,5.7,4,1,3,35.7,4,13.5,3,8.7,4,8.7,4,8.3,4,7.9,4,5.2,4,3.5,4,31.1,4,20.8,4,171.7,4,8.8,4,72.1,4,26.6,4,80.7,4,17.6,4,30.2,4,5780,5187
37,159,9.4,4,1.9,4,13.6,4,5.4,4,1.7,3,36.8,4,20.8,4,8.6,4,7.6,4,13.8,3,6.1,4,4.6,3,4,4,25.6,3,15.3,3,212.9,4,5.6,4,61,4,20.7,4,59.1,4,15.9,4,28,4,5025,3986
37,161,9,4,1.7,4,12.7,4,6.1,4,0.7,3,34.6,4,14.3,4,11.4,4,10.3,4,21.1,4,-1111.1,-1,8.4,4,3,4,24.7,3,24.5,4,211.4,4,8.1,4,58.9,4,27,4,75.8,4,18.3,4,33,4,4038,3749
